curr,dest,arrival_time,end_time,wait_time
3,8,48492.200510680486,48686,193.79948931951367
3,4,48500.702388364676,48610,109.29761163532385
1,5,48528.58068899096,48632,103.41931100904185
2,5,48530.31449264669,48707,176.6855073533079
1,4,48555.02877599535,48610,54.97122400465014
2,5,48572.09740349125,48707,134.9025965087494
1,9,48601.165159007316,48783,181.8348409926839
1,4,48647.91658628774,48752,104.08341371225833
5,9,48791.350454231484,48850,58.649545768515964
5,8,48803.534346420776,48833,29.465653579223726
5,8,48808.91822372979,48833,24.081776270213595
1,5,48841.87136938998,48911,69.12863061002281
1,3,48869.66600765236,48894,24.33399234763783
4,1,49045.874722255045,49076,30.125277744955383
3,8,49079.81417397353,49151,71.18582602647075
2,8,49127.884018816076,49213,85.1159811839243
3,9,49212.428338152255,49285,72.57166184774542
1,4,49290.35226801535,49318,27.647731984652637
1,3,49367.77031261681,49400,32.22968738318741
1,3,49562.55765506765,49590,27.44234493235126
1,3,49744.62926006206,49770,25.370739937941835
3,9,49791.22337167583,49881,89.77662832417263
1,3,49811.5009345591,49863,51.49906544089754
1,5,50007.93407896734,50045,37.06592103266303
1,3,50229.58157424643,50263,33.418425753567135
1,3,50354.31115974414,50382,27.688840255861578
4,1,50653.07406834319,50681,27.92593165681319
1,7,50912.63840545321,50951,38.36159454679
1,4,51167.86024613558,51219,51.139753864423255
1,3,51469.07760730135,51503,33.9223926986524
2,9,51790.581346672574,51876,85.418653327426
3,7,51848.52584958759,51927,78.47415041241038
1,4,52520.242659202966,52553,32.757340797033976
1,6,52666.57943912531,52714,47.420560874692455
4,1,53008.97555886481,53044,35.02444113518868
1,4,53101.174346921565,53152,50.8256530784347
2,9,53403.685781746164,53477,73.31421825383586
6,8,53466.501473074895,53540,73.49852692510467
1,3,53488.672213514976,53529,40.32778648502426
1,5,53496.542476909635,53602,105.4575230903647
4,1,54197.06439607066,54225,27.935603929341596
1,7,54456.36911250784,54511,54.63088749215967
1,5,55866.973458046785,55922,55.0265419532152
1,3,55993.332937851104,56032,38.66706214889564
3,4,56338.39931577676,56405,66.6006842232382
5,9,56346.76244172049,56422,75.23755827950663
1,4,56525.76065368762,56561,35.2393463123808
4,1,56626.022129571764,56665,38.9778704282362
1,3,56900.043634755646,56932,31.956365244353947
3,4,57623.92517126933,57664,40.07482873067056
4,1,58016.73904289055,58056,39.26095710945083
1,6,58200.48481247156,58248,47.515187528442766
1,4,58627.59418393667,58661,33.40581606332853
6,9,58997.319519950936,59022,24.6804800490645
1,3,59159.27175287087,59189,29.728247129132797
4,1,59300.385540692136,59338,37.61445930786431
1,9,59772.62625485487,59826,53.37374514513067
1,3,60158.34077151709,60177,18.659228482909384
4,1,60254.265980807744,60287,32.7340191922558
4,1,60258.61273784428,60287,28.3872621557166
1,3,60276.56511927067,60346,69.43488072932814
1,3,61151.61827457219,61177,25.381725427811034
2,9,61226.2207384562,61296,69.77926154380111
1,5,61865.37951357994,61900,34.62048642006266
1,3,62332.953445919295,62369,36.04655408070539
4,1,62463.04762860208,62502,38.952371397921524
2,9,62615.09907956996,62691,75.90092043003824
1,4,63101.221090763625,63133,31.778909236374602
1,6,63822.93705923752,63867,44.06294076248014
1,5,63904.54664873766,63953,48.4533512623384
1,3,64129.49746351481,64167,37.50253648518992
4,1,64406.735517544075,64442,35.264482455924735
1,3,64611.79048865572,64639,27.209511344277416
